Year,Country of residence,Country,Refugee,Refugees
2017,Aruba,Colombia,0,0
2017,Aruba,Cuba,*,0
2017,Aruba,Venezuela (Bolivarian Republic of),0,0
2017,Afghanistan,Afghanistan,0,0
2017,Afghanistan,Iran (Islamic Rep. of),34,34
2017,Afghanistan,Iraq,*,0
2017,Afghanistan,Pakistan,75893,75893
2017,Afghanistan,Tajikistan,0,0
2017,Afghanistan,Turkey,0,0
2017,Afghanistan,Uzbekistan,0,0
2017,Angola,Afghanistan,0,0
2017,Angola,Burundi,9,9
2017,Angola,Central African Rep.,9,9
2017,Angola,Cote d'Ivoire,510,510
2017,Angola,Cameroon,*,0
2017,Angola,Dem. Rep. of the Congo,38516,38516
2017,Angola,Congo,*,0
2017,Angola,Djibouti,0,0
2017,Angola,Algeria,*,0
2017,Angola,Eritrea,34,34
2017,Angola,Western Sahara,18,18
2017,Angola,Ethiopia,*,0
2017,Angola,Guinea,107,107
2017,Angola,Gambia,0,0
2017,Angola,Guinea-Bissau,*,0
2017,Angola,Haiti,*,0
2017,Angola,Iraq,0,0
2017,Angola,Liberia,155,155
2017,Angola,Libya,*,0
2017,Angola,Mali,*,0
2017,Angola,Mauritania,306,306
2017,Angola,Mauritius,0,0
2017,Angola,Nigeria,0,0
2017,Angola,Dem. People's Rep. of Korea,0,0
2017,Angola,Rwanda,273,273
2017,Angola,Sudan,313,313
2017,Angola,Senegal,0,0
2017,Angola,Sierra Leone,374,374
2017,Angola,Somalia,288,288
2017,Angola,Chad,184,184
2017,Angola,Togo,*,0
2017,Angola,United Rep. of Tanzania,*,0
2017,Angola,Uganda,6,6
2017,Angola,South Africa,*,0
2017,Angola,Zambia,7,7
2017,Angola,Zimbabwe,0,0
2017,Anguilla,Syrian Arab Rep.,*,0
2017,Albania,Afghanistan,0,0
2017,Albania,China,12,12
2017,Albania,Dem. Rep. of the Congo,*,0
2017,Albania,Algeria,0,0
2017,Albania,Egypt,*,0
2017,Albania,Western Sahara,0,0
2017,Albania,Iran (Islamic Rep. of),12,12
2017,Albania,Iraq,*,0
2017,Albania,Libya,0,0
2017,Albania,Morocco,0,0
2017,Albania,The former Yugoslav Republic of Macedonia,*,0
2017,Albania,Montenegro,*,0
2017,Albania,Peru,*,0
2017,Albania,Palestinian,*,0
2017,Albania,Russian Federation,*,0
2017,Albania,Serbia and Kosovo (S/RES/1244 (1999)),60,60
2017,Albania,Syrian Arab Rep.,*,0
2017,Albania,Tunisia,0,0
2017,Albania,Turkey,5,5
2017,Albania,Ukraine,*,0
2017,Albania,Uzbekistan,*,0
2017,Albania,Venezuela (Bolivarian Republic of),*,0
2017,Albania,Stateless,0,0
2017,Albania,Yemen,0,0
2017,United Arab Emirates,Afghanistan,5,5
2017,United Arab Emirates,Canada,0,0
2017,United Arab Emirates,China,0,0
2017,United Arab Emirates,Cameroon,0,0
2017,United Arab Emirates,Algeria,0,0
2017,United Arab Emirates,Egypt,0,0
2017,United Arab Emirates,Eritrea,0,0
2017,United Arab Emirates,Ethiopia,8,8
2017,United Arab Emirates,Iran (Islamic Rep. of),*,0
2017,United Arab Emirates,Iraq,697,697
2017,United Arab Emirates,Jordan,0,0
2017,United Arab Emirates,Lebanon,6,6
2017,United Arab Emirates,Liberia,0,0
2017,United Arab Emirates,Libya,0,0
2017,United Arab Emirates,Morocco,0,0
2017,United Arab Emirates,Madagascar,0,0
2017,United Arab Emirates,Pakistan,*,0
2017,United Arab Emirates,Philippines,0,0
2017,United Arab Emirates,Palestinian,5,5
2017,United Arab Emirates,Rwanda,*,0
2017,United Arab Emirates,Saudi Arabia,*,0
2017,United Arab Emirates,Sudan,8,8
2017,United Arab Emirates,Somalia,17,17
2017,United Arab Emirates,Syrian Arab Rep.,128,128
2017,United Arab Emirates,Tunisia,0,0
2017,United Arab Emirates,Turkey,0,0
2017,United Arab Emirates,Uganda,*,0
2017,United Arab Emirates,Ukraine,0,0
2017,United Arab Emirates,United States of America,0,0
2017,United Arab Emirates,Uzbekistan,*,0
2017,United Arab Emirates,Stateless,*,0
2017,United Arab Emirates,Yemen,0,0
2017,Argentina,Afghanistan,5,5
2017,Argentina,Angola,14,14
2017,Argentina,Albania,18,18
2017,Argentina,Armenia,78,78
2017,Argentina,Burundi,*,0
2017,Argentina,Benin,*,0
2017,Argentina,Burkina Faso,0,0
2017,Argentina,Bangladesh,5,5
2017,Argentina,Bulgaria,*,0
2017,Argentina,Bosnia and Herzegovina,6,6
2017,Argentina,Belarus,*,0
2017,Argentina,Bolivia (Plurinational State of),*,0
2017,Argentina,Brazil,*,0
2017,Argentina,Central African Rep.,*,0
2017,Argentina,Switzerland,0,0
2017,Argentina,Chile,33,33
2017,Argentina,China,*,0
2017,Argentina,Cote d'Ivoire,20,20
2017,Argentina,Cameroon,6,6
2017,Argentina,Dem. Rep. of the Congo,22,22
2017,Argentina,Congo,*,0
2017,Argentina,Colombia,544,544
2017,Argentina,Cabo Verde,0,0
