Origin,Year,Type,Value,ocode
Afghanistan,1979,Refugees,500000,AFG
Afghanistan,1980,Refugees,1734921,AFG
Afghanistan,1981,Refugees,3879984,AFG
Afghanistan,1982,Refugees,4488214,AFG
Afghanistan,1983,Refugees,4712735,AFG
Afghanistan,1984,Refugees,4417651,AFG
Afghanistan,1985,Refugees,4653193,AFG
Afghanistan,1986,Refugees,5094283,AFG
Afghanistan,1987,Refugees,5511740,AFG
Afghanistan,1988,Refugees,5622982,AFG
Afghanistan,1989,Refugees,5643989,AFG
Afghanistan,1990,Refugees,6339095,AFG
Afghanistan,1991,Refugees,6306301,AFG
Afghanistan,1992,Refugees,4552153,AFG
Afghanistan,1993,Refugees,3374576,AFG
Afghanistan,1994,Refugees,2731169,AFG
Afghanistan,1995,Refugees,2679133,AFG
Afghanistan,1996,Refugees,2674236,AFG
Afghanistan,1997,Refugees,2676674,AFG
Afghanistan,1998,Refugees,2667115,AFG
Afghanistan,1999,Refugees,2601691,AFG
Afghanistan,2000,Asylum-seekers,40294,AFG
Afghanistan,2000,Refugees,3587336,AFG
Afghanistan,2001,Asylum-seekers,30793,AFG
Afghanistan,2001,Refugees,3809767,AFG
Afghanistan,2002,Asylum-seekers,26694,AFG
Afghanistan,2002,Refugees,2510294,AFG
Afghanistan,2003,Asylum-seekers,26315,AFG
Afghanistan,2003,Refugees,2136043,AFG
Afghanistan,2004,Asylum-seekers,16990,AFG
Afghanistan,2004,Refugees,2414468,AFG
Afghanistan,2005,Asylum-seekers,14033,AFG
Afghanistan,2005,Refugees,2166149,AFG
Afghanistan,2006,Asylum-seekers,14977,AFG
Afghanistan,2006,Refugees,2107519,AFG
Afghanistan,2007,Asylum-seekers,16088,AFG
Afghanistan,2007,Refugees,3057661,AFG
Afghanistan,2008,Asylum-seekers,23179,AFG
Afghanistan,2008,Refugees,2833128,AFG
Afghanistan,2009,Asylum-seekers,30412,AFG
Afghanistan,2009,Refugees,2887123,AFG
Afghanistan,2010,Asylum-seekers,37120,AFG
Afghanistan,2010,Refugees,3054709,AFG
Afghanistan,2011,Asylum-seekers,39203,AFG
Afghanistan,2011,Refugees,2664436,AFG
Afghanistan,2012,Asylum-seekers,62313,AFG
Afghanistan,2012,Refugees,2586152,AFG
Afghanistan,2013,Asylum-seekers,75295,AFG
Afghanistan,2013,Refugees,2556502,AFG
Afghanistan,2014,Asylum-seekers,92382,AFG
Afghanistan,2014,Refugees,2596270,AFG
Afghanistan,2015,Asylum-seekers,258889,AFG
Afghanistan,2015,Refugees,2666305,AFG
Afghanistan,2016,Asylum-seekers,368957,AFG
Afghanistan,2016,Refugees,2501445,AFG
Afghanistan,2017,Asylum-seekers,333983,AFG
Afghanistan,2017,Refugees,2624225,AFG
Albania,1964,Refugees,100,ALB
Albania,1965,Refugees,4860,ALB
Albania,1966,Refugees,4860,ALB
Albania,1967,Refugees,4260,ALB
Albania,1968,Refugees,4120,ALB
Albania,1969,Refugees,4290,ALB
Albania,1970,Refugees,4310,ALB
Albania,1971,Refugees,390,ALB
Albania,1972,Refugees,2300,ALB
Albania,1973,Refugees,2090,ALB
Albania,1974,Refugees,380,ALB
Albania,1975,Refugees,380,ALB
Albania,1977,Refugees,2000,ALB
Albania,1978,Refugees,1980,ALB
Albania,1979,Refugees,1610,ALB
Albania,1980,Refugees,1681,ALB
Albania,1981,Refugees,1680,ALB
Albania,1982,Refugees,1645,ALB
Albania,1983,Refugees,1610,ALB
Albania,1984,Refugees,1576,ALB
Albania,1985,Refugees,1587,ALB
Albania,1986,Refugees,90,ALB
Albania,1987,Refugees,129,ALB
Albania,1988,Refugees,358,ALB
Albania,1989,Refugees,367,ALB
Albania,1990,Refugees,1822,ALB
Albania,1991,Refugees,3540,ALB
Albania,1992,Refugees,4353,ALB
Albania,1993,Refugees,4744,ALB
Albania,1994,Refugees,5019,ALB
Albania,1995,Refugees,5803,ALB
Albania,1996,Refugees,5785,ALB
Albania,1997,Refugees,5379,ALB
Albania,1998,Refugees,5353,ALB
Albania,1999,Refugees,6288,ALB
Albania,2000,Asylum-seekers,2817,ALB
Albania,2000,Refugees,6802,ALB
Albania,2001,Asylum-seekers,3978,ALB
Albania,2001,Refugees,7626,ALB
Albania,2002,Asylum-seekers,4992,ALB
Albania,2002,Refugees,10761,ALB
Albania,2003,Asylum-seekers,4535,ALB
Albania,2003,Refugees,10385,ALB
Albania,2004,Asylum-seekers,3328,ALB
Albania,2004,Refugees,10478,ALB
Albania,2005,Asylum-seekers,2579,ALB
Albania,2005,Refugees,12722,ALB
Albania,2006,Asylum-seekers,2279,ALB
Albania,2006,Refugees,14079,ALB
Albania,2007,Asylum-seekers,1640,ALB
Albania,2007,Refugees,15340,ALB
Albania,2008,Asylum-seekers,1822,ALB
Albania,2008,Refugees,15006,ALB
Albania,2009,Asylum-seekers,1592,ALB
Albania,2009,Refugees,15711,ALB
Albania,2010,Asylum-seekers,1358,ALB
Albania,2010,Refugees,14772,ALB
Albania,2011,Asylum-seekers,2203,ALB
Albania,2011,Refugees,13551,ALB
Albania,2012,Asylum-seekers,3718,ALB
Albania,2012,Refugees,12568,ALB
Albania,2013,Asylum-seekers,9765,ALB
Albania,2013,Refugees,10103,ALB
Albania,2014,Asylum-seekers,15212,ALB
Albania,2014,Refugees,10158,ALB
Albania,2015,Asylum-seekers,42162,ALB
Albania,2015,Refugees,10408,ALB
Albania,2016,Asylum-seekers,23787,ALB
Albania,2016,Refugees,11065,ALB
Albania,2017,Asylum-seekers,18745,ALB
Albania,2017,Refugees,12163,ALB
Algeria,1980,Refugees,2,DZA
Algeria,1981,Refugees,3,DZA
Algeria,1982,Refugees,3,DZA
Algeria,1983,Refugees,3,DZA
Algeria,1984,Refugees,3,DZA
Algeria,1985,Refugees,3,DZA
Algeria,1986,Refugees,1,DZA
Algeria,1987,Refugees,1,DZA
Algeria,1988,Refugees,5,DZA
Algeria,1989,Refugees,6,DZA
Algeria,1990,Refugees,19,DZA
Algeria,1991,Refugees,55,DZA
Algeria,1992,Refugees,71,DZA
Algeria,1993,Refugees,86,DZA
Algeria,1994,Refugees,20743,DZA
Algeria,1995,Refugees,1520,DZA
Algeria,1996,Refugees,2247,DZA
Algeria,1997,Refugees,3418,DZA
Algeria,1998,Refugees,5727,DZA
Algeria,1999,Refugees,7151,DZA
Algeria,2000,Asylum-seekers,2330,DZA
Algeria,2000,Refugees,8034,DZA
Algeria,2001,Asylum-seekers,2751,DZA
