,Year,Destination,Origin,Type,Value,dcode,ocode
2556,2017,Australia,Afghanistan,Refugees (incl. refugee-like situations),10922,AUS,AFG
2557,2017,Australia,Angola,Refugees (incl. refugee-like situations),0,AUS,AGO
2558,2017,Australia,Albania,Refugees (incl. refugee-like situations),59,AUS,ALB
2559,2017,Australia,Andorra,Refugees (incl. refugee-like situations),0,AUS,AND
2560,2017,Australia,United Arab Emirates,Refugees (incl. refugee-like situations),7,AUS,ARE
2561,2017,Australia,Argentina,Refugees (incl. refugee-like situations),0,AUS,ARG
2562,2017,Australia,Armenia,Refugees (incl. refugee-like situations),0,AUS,ARM
2563,2017,Australia,American Samoa,Refugees (incl. refugee-like situations),0,AUS,ASM
2564,2017,Australia,Antigua and Barbuda,Refugees (incl. refugee-like situations),0,AUS,ATG
2565,2017,Australia,Austria,Refugees (incl. refugee-like situations),0,AUS,AUT
2566,2017,Australia,Azerbaijan,Refugees (incl. refugee-like situations),9,AUS,AZE
2567,2017,Australia,Burundi,Refugees (incl. refugee-like situations),50,AUS,BDI
2568,2017,Australia,Benin,Refugees (incl. refugee-like situations),0,AUS,BEN
2569,2017,Australia,Burkina Faso,Refugees (incl. refugee-like situations),0,AUS,BFA
2570,2017,Australia,Bangladesh,Refugees (incl. refugee-like situations),434,AUS,BGD
2571,2017,Australia,Bulgaria,Refugees (incl. refugee-like situations),0,AUS,BGR
2572,2017,Australia,Bahrain,Refugees (incl. refugee-like situations),97,AUS,BHR
2573,2017,Australia,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),0,AUS,BIH
2574,2017,Australia,Belarus,Refugees (incl. refugee-like situations),7,AUS,BLR
2575,2017,Australia,Brazil,Refugees (incl. refugee-like situations),0,AUS,BRA
2576,2017,Australia,Brunei Darussalam,Refugees (incl. refugee-like situations),0,AUS,BRN
2577,2017,Australia,Bhutan,Refugees (incl. refugee-like situations),0,AUS,BTN
2578,2017,Australia,Botswana,Refugees (incl. refugee-like situations),0,AUS,BWA
2579,2017,Australia,Central African Rep.,Refugees (incl. refugee-like situations),0,AUS,CAF
2580,2017,Australia,Canada,Refugees (incl. refugee-like situations),0,AUS,CAN
2581,2017,Australia,Chile,Refugees (incl. refugee-like situations),0,AUS,CHL
2582,2017,Australia,China,Refugees (incl. refugee-like situations),2543,AUS,CHN
2583,2017,Australia,CÌ«te d'Ivoire,Refugees (incl. refugee-like situations),5,AUS,CIV
2584,2017,Australia,Cameroon,Refugees (incl. refugee-like situations),42,AUS,CMR
2585,2017,Australia,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),48,AUS,COD
2586,2017,Australia,Congo,Refugees (incl. refugee-like situations),13,AUS,COG
2587,2017,Australia,Colombia,Refugees (incl. refugee-like situations),116,AUS,COL
2588,2017,Australia,Cuba,Refugees (incl. refugee-like situations),0,AUS,CUB
2589,2017,Australia,Cyprus,Refugees (incl. refugee-like situations),0,AUS,CYP
2590,2017,Australia,Czech Rep.,Refugees (incl. refugee-like situations),0,AUS,CZE
2591,2017,Australia,Germany,Refugees (incl. refugee-like situations),5,AUS,DEU
2592,2017,Australia,Djibouti,Refugees (incl. refugee-like situations),0,AUS,DJI
2593,2017,Australia,Dominica,Refugees (incl. refugee-like situations),0,AUS,DMA
2594,2017,Australia,Algeria,Refugees (incl. refugee-like situations),10,AUS,DZA
2595,2017,Australia,Ecuador,Refugees (incl. refugee-like situations),0,AUS,ECU
2596,2017,Australia,Egypt,Refugees (incl. refugee-like situations),1560,AUS,EGY
2597,2017,Australia,Eritrea,Refugees (incl. refugee-like situations),138,AUS,ERI
2598,2017,Australia,Estonia,Refugees (incl. refugee-like situations),0,AUS,EST
2599,2017,Australia,Ethiopia,Refugees (incl. refugee-like situations),282,AUS,ETH
2600,2017,Australia,Finland,Refugees (incl. refugee-like situations),0,AUS,FIN
2601,2017,Australia,Fiji,Refugees (incl. refugee-like situations),406,AUS,FJI
2602,2017,Australia,France,Refugees (incl. refugee-like situations),0,AUS,FRA
2603,2017,Australia,Gabon,Refugees (incl. refugee-like situations),0,AUS,GAB
2604,2017,Australia,United Kingdom,Refugees (incl. refugee-like situations),5,AUS,GBR
2605,2017,Australia,Georgia,Refugees (incl. refugee-like situations),16,AUS,GEO
2606,2017,Australia,Ghana,Refugees (incl. refugee-like situations),32,AUS,GHA
2607,2017,Australia,Guinea,Refugees (incl. refugee-like situations),12,AUS,GIN
2608,2017,Australia,Gambia,Refugees (incl. refugee-like situations),8,AUS,GMB
2609,2017,Australia,Greece,Refugees (incl. refugee-like situations),6,AUS,GRC
2610,2017,Australia,Guatemala,Refugees (incl. refugee-like situations),0,AUS,GTM
2611,2017,Australia,"China, Hong Kong SAR",Refugees (incl. refugee-like situations),0,AUS,HKG
2612,2017,Australia,Honduras,Refugees (incl. refugee-like situations),0,AUS,HND
2613,2017,Australia,Croatia,Refugees (incl. refugee-like situations),0,AUS,HRV
2614,2017,Australia,Haiti,Refugees (incl. refugee-like situations),0,AUS,HTI
2615,2017,Australia,Hungary,Refugees (incl. refugee-like situations),0,AUS,HUN
2616,2017,Australia,Indonesia,Refugees (incl. refugee-like situations),205,AUS,IDN
2617,2017,Australia,India,Refugees (incl. refugee-like situations),388,AUS,IND
2618,2017,Australia,Ireland,Refugees (incl. refugee-like situations),0,AUS,IRL
2619,2017,Australia,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),8077,AUS,IRN
2620,2017,Australia,Iraq,Refugees (incl. refugee-like situations),4042,AUS,IRQ
2621,2017,Australia,Israel,Refugees (incl. refugee-like situations),15,AUS,ISR
2622,2017,Australia,Italy,Refugees (incl. refugee-like situations),5,AUS,ITA
2623,2017,Australia,Jamaica,Refugees (incl. refugee-like situations),0,AUS,JAM
2624,2017,Australia,Jordan,Refugees (incl. refugee-like situations),149,AUS,JOR
2625,2017,Australia,Japan,Refugees (incl. refugee-like situations),10,AUS,JPN
2626,2017,Australia,Kazakhstan,Refugees (incl. refugee-like situations),7,AUS,KAZ
2627,2017,Australia,Kenya,Refugees (incl. refugee-like situations),117,AUS,KEN
2628,2017,Australia,Kyrgyzstan,Refugees (incl. refugee-like situations),14,AUS,KGZ
2629,2017,Australia,Cambodia,Refugees (incl. refugee-like situations),31,AUS,KHM
2630,2017,Australia,Rep. of Korea,Refugees (incl. refugee-like situations),45,AUS,KOR
2631,2017,Australia,Kuwait,Refugees (incl. refugee-like situations),54,AUS,KWT
2632,2017,Australia,Lao People's Dem. Rep.,Refugees (incl. refugee-like situations),0,AUS,LAO
2633,2017,Australia,Lebanon,Refugees (incl. refugee-like situations),548,AUS,LBN
2634,2017,Australia,Liberia,Refugees (incl. refugee-like situations),37,AUS,LBR
2635,2017,Australia,Libya,Refugees (incl. refugee-like situations),992,AUS,LBY
2636,2017,Australia,Sri Lanka,Refugees (incl. refugee-like situations),4489,AUS,LKA
2637,2017,Australia,Lithuania,Refugees (incl. refugee-like situations),0,AUS,LTU
