Origin,Value
Afghanistan,2624225
Albania,12163
Algeria,3991
American Samoa,0
Andorra,0
Angola,8267
Antigua and Barbuda,94
Argentina,111
Armenia,10766
Australia,0
Austria,0
Azerbaijan,10878
Bahamas,373
Bahrain,487
Bangladesh,16755
Barbados,167
Belarus,3635
Belgium,52
Belize,59
Benin,557
Bhutan,7929
Bolivia (Plurinational State of),505
Bosnia and Herzegovina,17669
Botswana,279
Brazil,836
Brunei Darussalam,0
Bulgaria,716
Burkina Faso,2679
Burundi,439280
Cabo Verde,0
Cambodia,12213
Cameroon,10982
Canada,75
Cayman Islands,6
Central African Rep.,545498
Chad,16295
Chile,483
China,207691
"China, Hong Kong SAR",6
"China, Macao SAR",0
Colombia,191607
Comoros,575
Congo,13225
Cook Islands,0
Costa Rica,190
Croatia,24859
Cuba,5316
CuraÌ¤ao,35
Cyprus,0
Czech Rep.,1272
CÌ«te d'Ivoire,39939
Dem. People's Rep. of Korea,1161
Dem. Rep. of the Congo,620775
Denmark,0
Djibouti,1741
Dominica,26
Dominican Rep.,412
Ecuador,1236
Egypt,22056
El Salvador,25861
Equatorial Guinea,122
Eritrea,486169
Estonia,278
Ethiopia,87388
Fiji,734
Finland,0
France,49
French Guiana,0
Gabon,211
Gambia,14539
Georgia,6485
Germany,66
Ghana,16929
Gibraltar,0
Greece,101
Grenada,103
Guadeloupe,0
Guam,0
Guatemala,16274
Guinea,20313
Guinea-Bissau,1855
Guyana,255
Haiti,28414
Honduras,14404
Hungary,3331
Iceland,0
India,7891
Indonesia,12480
Iran (Islamic Rep. of),118595
Iraq,362506
Ireland,0
Israel,459
Italy,47
Jamaica,2209
Japan,44
Jordan,2099
Kazakhstan,2386
Kenya,7547
Kiribati,0
Kuwait,1082
Kyrgyzstan,2756
Lao People's Dem. Rep.,7051
Latvia,157
Lebanon,5287
Lesotho,6
Liberia,5989
Libya,11185
Lithuania,63
Luxembourg,0
Madagascar,277
Malawi,419
Malaysia,530
Maldives,54
Mali,150285
Malta,0
Marshall Islands,7
Mauritania,36495
Mauritius,125
Mexico,11659
Monaco,0
Mongolia,2207
Montenegro,699
Morocco,3064
Mozambique,38
Myanmar,1156732
Namibia,1358
Nepal,8399
Netherlands,34
New Zealand,34
Nicaragua,1467
Niger,1343
Nigeria,238942
Niue,19
Norway,0
Oman,29
Pakistan,128886
Palau,0
Palestinian,99585
Panama,31
Papua New Guinea,396
Paraguay,62
Peru,2578
Philippines,433
Poland,1108
Portugal,6
Puerto Rico,0
Qatar,31
Rep. of Korea,234
Rep. of Moldova,2314
Romania,1200
Russian Federation,61569
Rwanda,258956
Saint Kitts and Nevis,46
Saint Lucia,995
Saint Vincent and the Grenadines,1301
Saint-Pierre-et-Miquelon,0
Samoa,0
San Marino,0
Sao Tome and Principe,26
Saudi Arabia,1169
Senegal,26559
Serbia and Kosovo (S/RES/1244 (1999)),35072
Seychelles,5
Sierra Leone,4436
Singapore,43
Slovakia,913
Slovenia,7
Solomon Islands,57
Somalia,986356
South Africa,446
South Sudan,2439868
Spain,34
Sri Lanka,115612
Stateless,53342
Sudan,694506
Suriname,17
Swaziland,221
Sweden,14
Switzerland,0
Syrian Arab Rep.,6308619
Tajikistan,1354
Thailand,154
The former Yugoslav Republic of Macedonia,1633
Tibetan,13531
Timor-Leste,8
Togo,8100
Tonga,34
Trinidad and Tobago,310
Tunisia,1806
Turkey,61338
Turkmenistan,340
Turks and Caicos Islands,14
Tuvalu,0
Uganda,6369
Ukraine,139561
United Arab Emirates,132
United Kingdom,85
United Rep. of Tanzania,630
United States of America,285
Uruguay,7
Uzbekistan,3380
Vanuatu,0
Various/Unknown,202185
Venezuela (Bolivarian Republic of),9247
Viet Nam,334044
Western Sahara,116758
Yemen,23500
Zambia,250
Zimbabwe,17390
