Origin,Value
Afghanistan,333983
Albania,18745
Algeria,6396
American Samoa,0
Andorra,0
Angola,7808
Antigua and Barbuda,54
Argentina,348
Armenia,14907
Australia,0
Austria,23
Azerbaijan,9537
Bahamas,230
Bahrain,165
Bangladesh,68092
Barbados,74
Belarus,2856
Belgium,33
Belize,207
Benin,1110
Bhutan,397
Bolivia (Plurinational State of),856
Bosnia and Herzegovina,1862
Botswana,82
Brazil,6781
Brunei Darussalam,10
Bulgaria,300
Burkina Faso,5534
Burundi,60422
Cabo Verde,175
Cambodia,1576
Cameroon,24576
Canada,53
Cayman Islands,0
Central African Rep.,12989
Chad,3099
Chile,354
China,89478
"China, Hong Kong SAR",104
"China, Macao SAR",5
Colombia,32461
Comoros,323
Congo,13044
Cook Islands,0
Costa Rica,486
Croatia,257
Cuba,13228
CuraÌ¤ao,0
Cyprus,20
Czech Rep.,300
CÌ«te d'Ivoire,26500
Dem. People's Rep. of Korea,586
Dem. Rep. of the Congo,136124
Denmark,16
Djibouti,1278
Dominica,53
Dominican Rep.,3147
Ecuador,17312
Egypt,14562
El Salvador,104892
Equatorial Guinea,102
Eritrea,78278
Estonia,43
Ethiopia,133642
Fiji,678
Finland,0
France,132
French Guiana,6
Gabon,665
Gambia,22199
Georgia,16460
Germany,159
Ghana,17503
Gibraltar,0
Greece,89
Grenada,62
Guadeloupe,37
Guam,0
Guatemala,72707
Guinea,34508
Guinea-Bissau,3497
Guyana,472
Haiti,36988
Honduras,59769
Hungary,1650
Iceland,0
India,40320
Indonesia,5361
Iran (Islamic Rep. of),75059
Iraq,272595
Ireland,52
Israel,692
Italy,270
Jamaica,1426
Japan,97
Jordan,3457
Kazakhstan,3505
Kenya,5703
Kiribati,0
Kuwait,944
Kyrgyzstan,2559
Lao People's Dem. Rep.,223
Latvia,107
Lebanon,9248
Lesotho,0
Liberia,3328
Libya,6811
Lithuania,88
Luxembourg,0
Madagascar,74
Malawi,3153
Malaysia,9453
Maldives,24
Mali,15052
Malta,0
Marshall Islands,0
Mauritania,7512
Mauritius,225
Mexico,85060
Monaco,0
Mongolia,4160
Montenegro,768
Morocco,6842
Mozambique,12568
Myanmar,41062
Namibia,206
Nepal,13153
Netherlands,65
New Zealand,27
Nicaragua,2719
Niger,2387
Nigeria,91862
Niue,0
Norway,20
Oman,22
Pakistan,76874
Palau,0
Palestinian,8847
Panama,111
Papua New Guinea,372
Paraguay,177
Peru,3501
Philippines,8076
Poland,776
Portugal,166
Puerto Rico,0
Qatar,33
Rep. of Korea,383
Rep. of Moldova,3412
Romania,3261
Russian Federation,38650
Rwanda,12755
Saint Kitts and Nevis,18
Saint Lucia,177
Saint Vincent and the Grenadines,136
Saint-Pierre-et-Miquelon,0
Samoa,10
San Marino,0
Sao Tome and Principe,23
Saudi Arabia,1223
Senegal,25138
Serbia and Kosovo (S/RES/1244 (1999)),13224
Seychelles,0
Sierra Leone,6216
Singapore,56
Slovakia,695
Slovenia,14
Solomon Islands,106
Somalia,58290
South Africa,1596
South Sudan,6409
Spain,198
Sri Lanka,18904
Stateless,8883
Sudan,52157
Suriname,39
Swaziland,40
Sweden,8
Switzerland,8
Syrian Arab Rep.,146709
Tajikistan,3582
Thailand,1328
The former Yugoslav Republic of Macedonia,4020
Tibetan,12
Timor-Leste,5
Togo,3743
Tonga,107
Trinidad and Tobago,304
Tunisia,2307
Turkey,33767
Turkmenistan,1097
Turks and Caicos Islands,0
Tuvalu,0
Uganda,10130
Ukraine,37651
United Arab Emirates,182
United Kingdom,147
United Rep. of Tanzania,1430
United States of America,2166
Uruguay,164
Uzbekistan,3506
Vanuatu,15
Various/Unknown,34558
Venezuela (Bolivarian Republic of),147954
Viet Nam,7104
Western Sahara,1839
Yemen,24599
Zambia,158
Zimbabwe,21754
