Origin,Destination,Value
Afghanistan,Afghanistan,0
Afghanistan,Albania,0
Afghanistan,Algeria,0
Afghanistan,Angola,0
Afghanistan,Argentina,5
Afghanistan,Armenia,0
Afghanistan,Australia,10922
Afghanistan,Austria,26939
Afghanistan,Azerbaijan,587
Afghanistan,Belarus,209
Afghanistan,Belgium,3201
Afghanistan,Bosnia and Herzegovina,0
Afghanistan,Brazil,99
Afghanistan,Bulgaria,169
Afghanistan,Canada,3356
Afghanistan,Cayman Islands,0
Afghanistan,Chad,0
Afghanistan,Chile,13
Afghanistan,China,8
Afghanistan,"China, Hong Kong SAR",0
Afghanistan,Colombia,8
Afghanistan,Costa Rica,0
Afghanistan,Croatia,45
Afghanistan,Cuba,45
Afghanistan,Cyprus,12
Afghanistan,Czech Rep.,234
Afghanistan,Denmark,2668
Afghanistan,Dominican Rep.,0
Afghanistan,Ecuador,94
Afghanistan,Egypt,17
Afghanistan,Estonia,23
Afghanistan,Ethiopia,0
Afghanistan,Fiji,7
Afghanistan,Finland,2571
Afghanistan,France,13425
Afghanistan,Georgia,0
Afghanistan,Germany,104385
Afghanistan,Greece,4751
Afghanistan,Hungary,1412
Afghanistan,Iceland,44
Afghanistan,India,7758
Afghanistan,Indonesia,5477
Afghanistan,Iran (Islamic Rep. of),951142
Afghanistan,Iraq,11
Afghanistan,Ireland,230
Afghanistan,Italy,17171
Afghanistan,Japan,51
Afghanistan,Jordan,8
Afghanistan,Kazakhstan,561
Afghanistan,Kenya,8
Afghanistan,Kyrgyzstan,236
Afghanistan,Latvia,58
Afghanistan,Lebanon,22
Afghanistan,Libya,0
Afghanistan,Liechtenstein,0
Afghanistan,Lithuania,212
Afghanistan,Luxembourg,43
Afghanistan,Madagascar,0
Afghanistan,Malaysia,389
Afghanistan,Malta,0
Afghanistan,Mauritania,0
Afghanistan,Mexico,0
Afghanistan,Mongolia,0
Afghanistan,Morocco,0
Afghanistan,Nauru,81
Afghanistan,Nepal,57
Afghanistan,Netherlands,6205
Afghanistan,New Zealand,42
Afghanistan,Nigeria,5
Afghanistan,Norway,6490
Afghanistan,Pakistan,1392610
Afghanistan,Panama,0
Afghanistan,Papua New Guinea,117
Afghanistan,Philippines,13
Afghanistan,Poland,99
Afghanistan,Portugal,18
Afghanistan,Rep. of Korea,37
Afghanistan,Rep. of Moldova,18
Afghanistan,Romania,152
Afghanistan,Russian Federation,661
Afghanistan,Saudi Arabia,0
Afghanistan,Serbia and Kosovo (S/RES/1244 (1999)),2182
Afghanistan,Slovakia,246
Afghanistan,Slovenia,41
Afghanistan,Spain,287
Afghanistan,Sri Lanka,133
Afghanistan,Sudan,0
Afghanistan,Sweden,25645
Afghanistan,Switzerland,8151
Afghanistan,Syrian Arab Rep.,1221
Afghanistan,Tajikistan,2516
Afghanistan,Thailand,88
Afghanistan,The former Yugoslav Republic of Macedonia,0
Afghanistan,Turkey,5603
Afghanistan,Turkmenistan,14
Afghanistan,Ukraine,1410
Afghanistan,United Arab Emirates,5
Afghanistan,United Kingdom,9858
Afghanistan,United States of America,1564
Afghanistan,Uzbekistan,20
Afghanistan,Venezuela (Bolivarian Republic of),10
Albania,Argentina,18
Albania,Australia,59
Albania,Austria,88
Albania,Belgium,534
Albania,Brazil,0
Albania,Canada,853
Albania,Chile,0
Albania,Croatia,0
Albania,Cyprus,0
Albania,Czech Rep.,6
Albania,Denmark,5
Albania,Ecuador,6
Albania,Estonia,0
Albania,Finland,0
Albania,France,4349
Albania,Germany,983
Albania,Greece,150
Albania,Hungary,0
Albania,Iceland,6
Albania,Iraq,0
Albania,Ireland,78
Albania,Italy,538
Albania,Lebanon,0
Albania,Liechtenstein,0
Albania,Luxembourg,82
Albania,Malta,0
Albania,Mexico,8
Albania,Netherlands,8
Albania,New Zealand,0
Albania,Norway,27
Albania,Portugal,0
Albania,Rep. of Korea,0
Albania,Romania,0
Albania,Slovenia,0
Albania,Spain,0
Albania,Sweden,329
Albania,Switzerland,86
Albania,United Kingdom,2423
Albania,United States of America,1527
Algeria,Albania,0
Algeria,Angola,0
Algeria,Argentina,30
Algeria,Australia,10
Algeria,Austria,43
Algeria,Belgium,46
Algeria,Bosnia and Herzegovina,0
Algeria,Botswana,0
Algeria,Brazil,7
Algeria,Bulgaria,0
Algeria,Cameroon,0
Algeria,Canada,390
Algeria,Chad,0
Algeria,Chile,0
Algeria,Congo,0
Algeria,Croatia,0
Algeria,Cyprus,8
Algeria,Czech Rep.,0
Algeria,CÌ«te d'Ivoire,0
Algeria,Denmark,0
Algeria,Egypt,0
Algeria,El Salvador,0
Algeria,Estonia,0
Algeria,Finland,17
Algeria,France,1654
Algeria,Germany,524
Algeria,Greece,62
Algeria,Hungary,15
Algeria,Iceland,0
Algeria,Indonesia,0
Algeria,Iraq,0
Algeria,Ireland,189
Algeria,Italy,186
Algeria,Jordan,0
Algeria,Lebanon,0
Algeria,Lesotho,0
Algeria,Liberia,0
Algeria,Libya,0
Algeria,Liechtenstein,0
Algeria,Luxembourg,0
Algeria,Malaysia,0
Algeria,Malta,0
Algeria,Mauritania,0
Algeria,Mexico,0
Algeria,Montenegro,0
Algeria,Morocco,5
Algeria,Netherlands,18
Algeria,New Zealand,6
Algeria,Norway,12
Algeria,Pakistan,17
Algeria,Poland,0
Algeria,Rep. of Korea,5
Algeria,Romania,0
Algeria,Senegal,9
Algeria,Serbia and Kosovo (S/RES/1244 (1999)),0
Algeria,Slovakia,0
Algeria,Slovenia,0
Algeria,South Africa,0
Algeria,Spain,46
Algeria,Sudan,0
Algeria,Sweden,66
Algeria,Switzerland,160
Algeria,Syrian Arab Rep.,5
Algeria,The former Yugoslav Republic of Macedonia,0
Algeria,Tunisia,7
Algeria,Turkey,0
Algeria,Ukraine,0
Algeria,United Arab Emirates,0
Algeria,United Kingdom,323
Algeria,United States of America,131
Algeria,Venezuela (Bolivarian Republic of),0
Algeria,Yemen,0
American Samoa,Australia,0
Andorra,Australia,0
Andorra,Brazil,0
Andorra,Germany,0
Andorra,United States of America,0
Angola,Argentina,14
Angola,Australia,0
Angola,Austria,82
Angola,Belgium,91
Angola,Benin,0
Angola,Bolivia (Plurinational State of),0
Angola,Botswana,0
Angola,Brazil,1112
Angola,Burundi,0
Angola,Cameroon,0
Angola,Canada,99
Angola,Central African Rep.,14
Angola,Chile,0
Angola,China,0
Angola,Colombia,0
Angola,Congo,318
Angola,Costa Rica,0
Angola,Czech Rep.,19
Angola,CÌ«te d'Ivoire,0
Angola,Dem. Rep. of the Congo,494
Angola,Denmark,0
Angola,Ecuador,0
Angola,Egypt,0
Angola,Finland,139
Angola,France,3428
Angola,Germany,803
Angola,Greece,0
Angola,Guyana,0
Angola,Hungary,5
Angola,India,0
Angola,Indonesia,0
Angola,Ireland,236
Angola,Italy,35
Angola,Kenya,0
Angola,Luxembourg,15
Angola,Malaysia,0
Angola,Mauritania,0
Angola,Mexico,0
Angola,Morocco,0
Angola,Mozambique,0
Angola,Netherlands,58
Angola,Norway,35
Angola,Panama,0
Angola,Peru,0
Angola,Portugal,0
Angola,Rep. of Korea,0
Angola,Rep. of Moldova,0
Angola,Romania,5
Angola,Russian Federation,0
Angola,Rwanda,5
Angola,Senegal,0
Angola,Slovakia,24
Angola,South Africa,25
Angola,Spain,10
Angola,Swaziland,11
Angola,Sweden,38
Angola,Switzerland,774
Angola,Trinidad and Tobago,0
Angola,Turkey,0
Angola,Uganda,0
Angola,Ukraine,26
Angola,United Kingdom,195
Angola,United States of America,157
Angola,Uruguay,0
Angola,Zambia,0
Angola,Zimbabwe,0
Antigua and Barbuda,Australia,0
Antigua and Barbuda,Canada,94
Antigua and Barbuda,France,0
Antigua and Barbuda,Trinidad and Tobago,0
Antigua and Barbuda,United Kingdom,0
Antigua and Barbuda,United States of America,0
Argentina,Australia,0
Argentina,Brazil,11
Argentina,Canada,26
