,Origin,Destination,COO_COD,dcode,ocode,COO_total,Pct
0,Afghanistan,Turkey,157810,TUR,AFG,333983,0.4725090798034631
1,Afghanistan,Germany,87321,DEU,AFG,333983,0.2614534272702503
2,Afghanistan,Austria,24233,AUT,AFG,333983,0.07255758526631595
3,Afghanistan,Sweden,17812,SWE,AFG,333983,0.05333205582320058
4,Afghanistan,Greece,6922,GRC,AFG,333983,0.020725605794306896
5,Afghanistan,India,5743,IND,AFG,333983,0.017195485997790305
6,Afghanistan,Switzerland,5620,CHE,AFG,333983,0.016827203779833107
7,Afghanistan,France,4314,FRA,AFG,333983,0.01291682510786477
8,Afghanistan,Belgium,3915,BEL,AFG,333983,0.011722153522784095
9,Afghanistan,Pakistan,3241,PAK,AFG,333983,0.009704086734953576
10,Afghanistan,Ukraine,2808,UKR,AFG,333983,0.00840761356116928
11,Afghanistan,United Kingdom,2347,GBR,AFG,333983,0.007027303784923185
12,Afghanistan,Indonesia,2084,IDN,AFG,333983,0.006239838554656973
13,Afghanistan,Australia,1795,AUS,AFG,333983,0.005374525050676232
14,Afghanistan,United States of America,810,USA,AFG,333983,0.0024252731426449847
15,Afghanistan,Malaysia,798,MYS,AFG,333983,0.0023893431701613554
16,Afghanistan,Denmark,769,DNK,AFG,333983,0.002302512403325918
17,Afghanistan,Bulgaria,752,BGR,AFG,333983,0.0022516116089741096
18,Afghanistan,Canada,717,CAN,AFG,333983,0.002146815855896857
19,Afghanistan,Norway,618,NOR,AFG,333983,0.0018503935829069145
20,Afghanistan,Tajikistan,440,TJK,AFG,333983,0.0013174323243997448
21,Afghanistan,Netherlands,413,NLD,AFG,333983,0.0012365898863115788
22,Afghanistan,Italy,322,ITA,AFG,333983,0.0009641209283107224
23,Afghanistan,Finland,320,FIN,AFG,333983,0.0009581325995634509
24,Afghanistan,Hungary,241,HUN,AFG,333983,0.0007215936140462239
25,Afghanistan,Ireland,180,IRL,AFG,333983,0.0005389495872544411
26,Afghanistan,Russian Federation,167,RUS,AFG,333983,0.0005000254503971759
27,Afghanistan,Brazil,165,BRA,AFG,333983,0.0004940371216499044
28,Afghanistan,Kazakhstan,164,KAZ,AFG,333983,0.0004910429572762686
29,Afghanistan,Spain,148,ESP,AFG,333983,0.000443136327298096
30,Afghanistan,Romania,111,ROU,AFG,333983,0.00033235224547357203
31,Afghanistan,Iraq,107,IRQ,AFG,333983,0.0003203755879790289
32,Afghanistan,Croatia,93,HRV,AFG,333983,0.0002784572867481279
33,Afghanistan,Azerbaijan,70,AZE,AFG,333983,0.00020959150615450486
34,Afghanistan,Luxembourg,70,LUX,AFG,333983,0.00020959150615450486
35,Afghanistan,Ecuador,63,ECU,AFG,333983,0.00018863235553905438
36,Afghanistan,Sri Lanka,58,LKA,AFG,333983,0.00017366153367087545
37,Afghanistan,Serbia and Kosovo (S/RES/1244 (1999)),49,SRB,AFG,333983,0.0001467140543081534
38,Afghanistan,Kyrgyzstan,46,KGZ,AFG,333983,0.00013773156118724605
39,Afghanistan,Slovenia,41,SVN,AFG,333983,0.00012276073931906715
40,Afghanistan,Syrian Arab Rep.,32,SYR,AFG,333983,9.581325995634508e-05
41,Afghanistan,Egypt,22,EGY,AFG,333983,6.587161621998725e-05
42,Afghanistan,New Zealand,20,NZL,AFG,333983,5.988328747271568e-05
43,Afghanistan,China,18,CHN,AFG,333983,5.389495872544411e-05
44,Afghanistan,Georgia,16,GEO,AFG,333983,4.790662997817254e-05
45,Afghanistan,United Arab Emirates,14,ARE,AFG,333983,4.1918301230900976e-05
46,Afghanistan,Chile,13,CHL,AFG,333983,3.892413685726519e-05
47,Afghanistan,Libya,11,LBY,AFG,333983,3.2935808109993624e-05
48,Afghanistan,Argentina,9,ARG,AFG,333983,2.6947479362722054e-05
49,Afghanistan,Bosnia and Herzegovina,9,BIH,AFG,333983,2.6947479362722054e-05
50,Afghanistan,Jordan,9,JOR,AFG,333983,2.6947479362722054e-05
51,Afghanistan,Lithuania,9,LTU,AFG,333983,2.6947479362722054e-05
52,Afghanistan,Latvia,8,LVA,AFG,333983,2.395331498908627e-05
53,Afghanistan,Rep. of Moldova,8,MDA,AFG,333983,2.395331498908627e-05
54,Afghanistan,Dominican Rep.,7,DOM,AFG,333983,2.0959150615450488e-05
55,Afghanistan,Lebanon,7,LBN,AFG,333983,2.0959150615450488e-05
